Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - GBP,Flow
26/7/12,"5,573.16",+74.84,+1.36%,"5,498.32","5,478.04","5,594.51","817,687,708","391,395.00","438,748.00"
27/7/12,"5,627.21",+54.05,+0.97%,"5,573.16","5,550.90","5,631.00","732,786,030","318,983.00","757,731.00"
30/7/12,"5,693.63",+66.42,+1.18%,"5,627.21","5,625.67","5,706.47","648,632,858","286,172.00","1,043,903.00"
31/7/12,"5,635.28",-58.35,-1.02%,"5,693.63","5,635.28","5,695.54","645,790,740","336,655.00","707,248.00"
1/8/12,"5,712.82",+77.54,+1.38%,"5,635.28","5,632.97","5,712.82","554,180,322","282,921.00","990,169.00"
2/8/12,"5,662.30",-50.52,-0.88%,"5,712.82","5,657.25","5,765.81","805,200,635","367,861.00","622,308.00"
3/8/12,"5,787.28",+124.98,+2.21%,"5,662.30","5,662.30","5,794.01","748,571,502","342,268.00","964,576.00"
6/8/12,"5,808.77",+21.49,+0.37%,"5,787.28","5,767.10","5,837.61","613,097,988","269,829.00","1,234,405.00"
7/8/12,"5,841.24",+32.47,+0.56%,"5,808.77","5,785.01","5,841.24","779,688,971","418,343.00","1,652,748.00"
8/8/12,"5,845.92",+4.68,+0.08%,"5,841.24","5,801.08","5,845.92","588,922,534","327,065.00","1,979,813.00"
9/8/12,"5,851.51",+5.59,+0.10%,"5,845.92","5,828.44","5,860.16","741,075,779","348,419.00","2,328,232.00"
10/8/12,"5,847.11",-4.40,-0.08%,"5,851.51","5,827.71","5,858.56","466,836,787","220,892.00","2,107,340.00"
13/8/12,"5,831.88",-15.23,-0.26%,"5,847.11","5,813.63","5,852.79","410,230,130","216,622.00","1,890,718.00"
14/8/12,"5,864.78",+32.90,+0.56%,"5,831.88","5,831.88","5,876.22","627,903,967","311,445.00","2,202,163.00"
15/8/12,"5,833.04",-31.74,-0.54%,"5,864.78","5,822.25","5,864.78","560,382,748","304,585.00","1,897,578.00"
16/8/12,"5,834.51",+1.47,+0.03%,"5,833.04","5,811.31","5,846.70","587,033,741","266,625.00","2,164,203.00"
17/8/12,"5,852.42",+17.91,+0.31%,"5,834.51","5,834.39","5,854.72","731,769,482","291,229.00","2,455,432.00"
20/8/12,"5,824.37",-28.05,-0.48%,"5,852.42","5,802.91","5,857.50","692,841,965","237,546.00","2,217,886.00"
21/8/12,"5,857.52",+33.15,+0.57%,"5,824.37","5,824.37","5,872.59","501,843,507","241,798.00","2,459,684.00"
22/8/12,"5,774.20",-83.32,-1.42%,"5,857.52","5,771.22","5,857.52","535,193,056","243,222.00","2,216,462.00"
23/8/12,"5,776.60",+2.40,+0.04%,"5,774.20","5,764.02","5,809.26","636,105,151","295,420.00","2,511,882.00"
24/8/12,"5,776.60",0.00,0.00%,"5,776.60","5,739.41","5,791.39","487,763,864","242,245.00","2,754,127.00"
28/8/12,"5,775.71",-0.89,-0.02%,"5,776.60","5,749.75","5,779.49","524,544,629","253,097.00","2,501,030.00"
29/8/12,"5,743.53",-32.18,-0.56%,"5,775.71","5,739.23","5,775.76","523,480,599","251,858.00","2,249,172.00"
30/8/12,"5,719.45",-24.08,-0.42%,"5,743.53","5,705.65","5,743.53","479,116,761","268,043.00","1,981,129.00"
31/8/12,"5,711.48",-7.97,-0.14%,"5,719.45","5,707.99","5,763.77","851,664,853","422,755.00","1,558,374.00"
3/9/12,"5,758.41",+46.93,+0.82%,"5,711.48","5,701.06","5,758.41","394,561,407","199,796.00","1,758,170.00"
4/9/12,"5,672.01",-86.40,-1.50%,"5,758.41","5,658.34","5,758.41","628,708,278","297,899.00","1,460,271.00"
