trading_date,open_price,high_price,low_price,close_price
2015-03-23,2107.99,2114.86,2104.42,2104.42
2015-03-24,2103.94,2107.63,2091.5,2091.5
2015-03-25,2093.1,2097.43,2061.05,2061.05
2015-03-26,2059.94,2067.15,2045.5,2056.15
2015-03-27,2055.78,2062.83,2052.96,2061.02
2015-03-30,2064.11,2088.97,2064.11,2086.24
2015-03-31,2084.05,2084.05,2067.04,2067.89
2015-04-01,2067.63,2067.63,2048.38,2059.69
2015-04-02,2060.03,2072.17,2057.32,2066.96
2015-04-06,2064.87,2086.99,2056.52,2080.62
2015-04-07,2080.79,2089.81,2076.1,2076.33
2015-04-08,2076.94,2086.69,2073.3,2081.9
2015-04-09,2081.29,2093.31,2074.29,2091.18
2015-04-10,2091.51,2102.61,2091.51,2102.06
2015-04-13,2102.03,2107.65,2092.33,2092.43
2015-04-14,2092.28,2098.62,2083.24,2095.84
2015-04-15,2097.82,2111.91,2097.82,2106.63
2015-04-16,2105.96,2111.3,2100.02,2104.99
2015-04-17,2102.58,2102.58,2072.37,2081.18
2015-04-20,2084.11,2103.94,2084.11,2100.4
2015-04-21,2102.82,2109.64,2094.38,2097.29
2015-04-22,2098.27,2109.98,2091.05,2107.96
2015-04-23,2107.21,2120.49,2103.19,2112.93
2015-04-24,2112.8,2120.92,2112.8,2117.69
2015-04-27,2119.29,2125.92,2107.04,2108.92
2015-04-28,2108.35,2116.09,2094.89,2114.76
2015-04-29,2112.49,2113.65,2097.41,2106.85
2015-04-30,2105.52,2105.52,2077.59,2085.51
2015-05-01,2087.38,2108.41,2087.38,2108.29
2015-05-04,2110.23,2120.95,2110.23,2114.49
2015-05-05,2112.63,2115.24,2088.46,2089.46
2015-05-06,2091.26,2098.42,2067.93,2080.15
2015-05-07,2079.96,2092.9,2074.99,2088.0
2015-05-08,2092.13,2117.66,2092.13,2116.1
2015-05-11,2115.56,2117.69,2104.58,2105.33
2015-05-12,2102.87,2105.06,2085.57,2099.12
2015-05-13,2099.62,2110.19,2096.04,2098.48
2015-05-14,2100.43,2121.45,2100.43,2121.1
2015-05-15,2122.07,2123.89,2116.79,2122.73
2015-05-18,2121.3,2131.78,2120.01,2129.2
2015-05-19,2129.45,2133.02,2124.5,2127.83
2015-05-20,2127.79,2134.72,2122.59,2125.85
2015-05-21,2125.55,2134.28,2122.95,2130.82
2015-05-22,2130.36,2132.15,2126.06,2126.06
2015-05-26,2125.34,2125.34,2099.18,2104.2
2015-05-27,2105.13,2126.22,2105.13,2123.48
2015-05-28,2122.27,2122.27,2112.86,2120.79
2015-05-29,2120.66,2120.66,2104.89,2107.39
2015-06-01,2108.64,2119.15,2102.54,2111.73
2015-06-02,2110.41,2117.59,2099.14,2109.6
2015-06-03,2110.64,2121.92,2109.61,2114.07
2015-06-04,2112.35,2112.89,2093.23,2095.84
2015-06-05,2095.09,2100.99,2085.67,2092.83
2015-06-08,2092.34,2093.01,2079.11,2079.28
2015-06-09,2079.07,2085.62,2072.14,2080.15
2015-06-10,2081.12,2108.5,2081.12,2105.2
2015-06-11,2106.24,2115.02,2106.24,2108.86
2015-06-12,2107.43,2107.43,2091.33,2094.11
2015-06-15,2091.34,2091.34,2072.49,2084.43
2015-06-16,2084.26,2097.4,2082.1,2096.29
2015-06-17,2097.4,2106.79,2088.86,2100.44
2015-06-18,2101.58,2126.65,2101.58,2121.24
2015-06-19,2121.06,2121.64,2109.45,2109.99
2015-06-22,2112.5,2129.87,2112.5,2122.85
2015-06-23,2123.16,2128.03,2119.89,2124.2
2015-06-24,2123.65,2125.1,2108.58,2108.58
2015-06-25,2109.96,2116.04,2101.78,2102.31
2015-06-26,2102.62,2108.92,2095.38,2101.49
2015-06-29,2098.63,2098.63,2056.64,2057.64
2015-06-30,2061.19,2074.28,2056.32,2063.11
2015-07-01,2067.0,2082.78,2067.0,2077.42
2015-07-02,2078.03,2085.06,2071.02,2076.78
2015-07-06,2073.95,2078.61,2058.4,2068.76
2015-07-07,2069.52,2083.74,2044.02,2081.34
2015-07-08,2077.66,2077.66,2044.66,2046.68
2015-07-09,2049.73,2074.28,2049.73,2051.31
2015-07-10,2052.74,2081.31,2052.74,2076.62
2015-07-13,2080.03,2100.67,2080.03,2099.6
2015-07-14,2099.72,2111.98,2098.18,2108.95
2015-07-15,2109.01,2114.14,2102.49,2107.4
2015-07-16,2110.55,2124.42,2110.55,2124.29
2015-07-17,2126.8,2128.91,2119.88,2126.64
2015-07-20,2126.85,2132.82,2123.65,2128.28
2015-07-21,2127.55,2128.49,2115.4,2119.21
2015-07-22,2118.21,2118.51,2110.0,2114.15
2015-07-23,2114.16,2116.87,2098.63,2102.15
2015-07-24,2102.24,2106.01,2077.09,2079.65
2015-07-27,2078.19,2078.19,2063.52,2067.64
2015-07-28,2070.75,2095.6,2069.09,2093.25
2015-07-29,2094.7,2110.6,2094.08,2108.57
2015-07-30,2106.78,2110.48,2094.97,2108.63
2015-07-31,2111.6,2114.24,2102.07,2103.84
2015-08-03,2104.49,2105.7,2087.31,2098.04
2015-08-04,2097.68,2102.51,2088.6,2093.32
2015-08-05,2095.27,2112.66,2095.27,2099.84
2015-08-06,2100.75,2103.32,2075.53,2083.56
2015-08-07,2082.61,2082.61,2067.91,2077.57
2015-08-10,2080.98,2105.35,2080.98,2104.18
2015-08-11,2102.66,2102.66,2076.49,2084.07
2015-08-12,2081.1,2089.06,2052.09,2086.05
2015-08-13,2086.19,2092.93,2078.26,2083.39
2015-08-14,2083.15,2092.45,2080.61,2091.54
2015-08-17,2089.7,2102.87,2079.3,2102.44
